Type|Date|Time|Number|GrossWeight|TareWeight|NetWeight|GrossBushels|MoistureLevel|MoistureLevelDockage|ForeignMaterial|ForeignMaterialDockage|NetBushels
Soybean|20171002|134100|44223|31119.|10775.|20344.00|339.07|11.40|0.00|0.31|1.05|338.02

Soybean|20171002|143500|44269|31596.|10770.|20826.00|347.10|11.90|0.00|0.89|3.09|344.01

Soybean|20171003|131900|44338|27894.|10780.|17114.00|285.23|16.10|7.42|0.64|1.83|275.99

Soybean|20171013|125400|44586|30927.|10780.|20147.00|335.78|12.10|-4.70|0.63|2.12|338.37

Soybean|20171013|134600|44642|30215.|10775.|19440.00|324.00|13.70|0.65|0.11|0.36|323.00

Soybean|20171017|141500|44838|31277.|10780.|20497.00|341.62|11.60|0.00|0.18|0.61|341.00

Soybean|20171017|153300|44873|31432.|10775.|20657.00|344.28|11.90|0.00|0.86|2.96|341.32

Soybean|20171018|130700|44983|16540.|10780.|5760.00|96.00|11.10|0.00|0.35|0.34|95.66

Soybean|20171018|135600|45011|30746.|10775.|19971.00|332.85|11.40|0.00|0.86|2.86|329.99

Soybean|20171018|144400|45038|31103.|10770.|20333.00|338.88|11.10|0.00|0.36|1.22|337.66

Soybean|20171018|153300|45057|30829.|10765.|20064.00|334.40|10.80|0.00|0.22|0.74|333.66

Soybean|20171018|161300|45090|31266.|10760.|20506.00|341.77|10.50|0.00|0.81|2.77|339.00

Soybean|20171019|133400|45164|31484.|10780.|20704.00|345.07|10.40|0.00|0.79|2.73|342.34

Soybean|20171019|142400|45182|31714.|10775.|20939.00|348.98|12.00|-5.23|0.66|2.30|351.91

Soybean|20171019|151300|45201|31452.|10770.|20682.00|344.70|11.50|0.00|0.98|3.38|341.32

Soybean|20171019|160400|45226|32145.|10765.|21380.00|356.33|11.00|0.00|0.56|2.00|354.34

Soybean|20171023|131400|45813|32130.|10780.|21350.00|355.83|10.70|0.00|0.61|2.17|353.66

Soybean|20171023|140200|45862|28248.|10775.|17473.00|291.22|10.20|0.00|0.99|2.88|288.33

Soybean|20171024|132500|46000|31442.|10780.|20662.00|344.37|9.70|0.00|0.88|3.03|341.34

Soybean|20171024|141400|46036|27261.|10775.|16486.00|274.77|9.20|0.00|0.89|2.45|272.32

Soybean|20171030|122500|46587|29283.|10780.|18503.00|308.38|14.30|2.47|0.84|2.59|303.33

Soybean|20171030|131400|46624|29482.|10775.|18707.00|311.78|13.90|1.25|0.69|2.15|308.38

Soybean|20171030|140300|46656|29913.|10770.|19143.00|319.05|12.70|-2.55|0.33|1.05|320.55

Soybean|20171031|124800|46717|28529.|10780.|17749.00|295.82|15.40|5.62|0.16|0.47|289.72

Grain Sorghum|20171102|132400|46831|31328.|10780.|20548.00|366.93|14.60|4.04|0.31|1.14|361.75

Grain Sorghum|20171103|122200|46857|32966.|10780.|22186.00|396.18|14.50|3.96|0.80|3.17|389.05

Grain Sorghum|20171103|132000|46866|32054.|10775.|21279.00|379.98|15.20|6.46|0.89|3.38|370.14

Grain Sorghum|20171103|154000|46864|31694.|10770.|20924.00|373.64|14.90|5.23|0.03|0.11|368.30

Grain Sorghum|20171104|124500|46901|31670.|10780.|20890.00|373.04|15.00|5.60|0.21|0.78|366.66

Grain Sorghum|20171104|135000|46918|32044.|10775.|21269.00|379.80|15.80|8.74|0.21|0.80|370.27

Grain Sorghum|20171104|143500|46929|31520.|10770.|20750.00|370.54|15.40|7.04|0.13|0.48|363.01

Grain Sorghum|20171106|121000|MV21177|31341.|10780.|20561.00|367.16|15.00|5.51|0.08|0.29|361.36

Grain Sorghum|20171106|134500|MV21178|53672.|10775.|42897.00|766.02|15.10|12.26|0.78|5.97|747.79

Grain Sorghum|20171106|142000|MV21180|32057.|10770.|21287.00|380.12|15.20|6.46|0.56|2.13|371.53

Grain Sorghum|20171106|145500|46969|32695.|10765.|21930.00|391.61|15.00|5.87|0.45|1.76|383.97

Grain Sorghum|20171106|152500|46976|32734.|10760.|21974.00|392.39|14.70|4.71|0.95|3.73|383.96

Grain Sorghum|20171106|162500|MV21188|31593.|10750.|20843.00|372.20|14.70|4.47|0.22|0.82|366.91

Grain Sorghum|20171106|165500|MV21193|32296.|10745.|21551.00|384.84|14.60|4.23|0.09|0.35|380.26

Grain Sorghum|20171106|180000|MV21200|32302.|10735.|21567.00|385.12|14.90|5.39|0.12|0.46|379.27

Grain Sorghum|20171106|182500|MV21205|33542.|10730.|22812.00|407.36|15.00|6.11|0.33|1.34|399.90

Grain Sorghum|20171106|191000|47204|32333.|10720.|21613.00|385.95|15.00|5.79|0.02|0.08|380.08

Grain Sorghum|20171106|193500|47030|32864.|10715.|22149.00|395.52|15.10|6.33|0.12|0.47|388.71

Grain Sorghum|20171106|200000|MV21221|56649.|10710.|45939.00|820.34|14.80|10.66|0.95|7.79|801.88

Grain Sorghum|20171106|202500|MV21225|32317.|10705.|21612.00|385.93|14.90|5.40|0.97|3.74|376.78

Grain Sorghum|20171108|134000|47067|32736.|10780.|21956.00|392.07|14.50|3.92|0.23|0.90|387.25

Grain Sorghum|20171108|143200|MV21230|32769.|10775.|21994.00|392.75|14.60|4.32|0.98|3.85|384.58

Grain Sorghum|20171108|151300|MV21235|55547.|10770.|44777.00|799.59|14.30|6.40|0.08|0.64|792.55

Grain Sorghum|20171108|160100|MV21239|33168.|10765.|22403.00|400.05|14.00|2.00|0.80|3.20|394.85

Grain Sorghum|20171108|164700|MV21244|55763.|10760.|45003.00|803.62|14.20|5.63|0.88|7.07|790.93

Grain Sorghum|20171109|122400|47102|32394.|10780.|21614.00|385.96|14.10|2.32|0.31|1.20|382.45

Grain Sorghum|20171109|133600|47114|32591.|10775.|21816.00|389.57|14.20|2.73|0.18|0.70|386.14

Grain Sorghum|20171109|140300|47119|56164.|10770.|45394.00|810.61|14.00|4.05|0.22|1.78|804.77

Grain Sorghum|20171109|145200|MV21255|29680.|10765.|18915.00|337.77|14.20|2.36|0.23|0.78|334.63

Soybean|20171113|134900|47225|29844.|10780.|19064.00|317.73|13.50|0.00|0.40|1.27|316.46

Soybean|20171113|143500|47229|22646.|10775.|11871.00|197.85|12.00|-2.97|0.93|1.84|198.98

Soybean|20171116|151400|47251|29205.|10780.|18425.00|307.08|15.70|6.76|0.49|1.50|298.82

Soybean|20171116|160100|47253|26552.|10775.|15777.00|262.95|15.40|5.00|0.92|2.42|255.53

Soybean|20171117|130900|47256|15444.|10780.|4664.00|77.73|18.40|3.81|0.66|0.51|73.41

Soybean|20171117|140800|47260|29436.|10775.|18661.00|311.02|15.10|4.98|0.97|3.02|303.02
